Frame Number,Timecode,adaptive_ratio (w=2),average_rgb,content_val,delta_edges,delta_hue,delta_lum,delta_sat
8490,00:04:42.967,0.6754843884636358,100.18624312789352,0.8204843026620371,1.722412109375,1.4215223524305556,0.6671820746527778,0.3727484809027778
8491,00:04:43.000,0.6507832598788313,100.30832248263889,0.7056477864583334,1.8607584635416667,0.9624565972222222,0.7492404513888888,0.4052463107638889
8492,00:04:43.033,0.94045373876903,100.39940502025463,0.8409378616898149,1.70166015625,1.2421061197916667,0.8339029947916666,0.4468044704861111
8493,00:04:43.067,1.5348051154565148,100.40990306712963,1.2379286024305556,2.11669921875,2.325710720486111,0.8215874565972222,0.5664876302083334
8494,00:04:43.100,0.902099042696009,100.52957718460648,0.8126718026620371,2.03369140625,1.2889539930555556,0.7340223524305556,0.4150390625
8495,00:04:43.133,0.9663662498456763,100.60701497395833,0.8670247395833334,1.9783528645833333,1.4103190104166667,0.760498046875,0.4302571614583333
8496,00:04:43.167,0.8019872406358728,100.7349265769676,0.6575792100694444,2.1305338541666665,0.8332248263888888,0.7389865451388888,0.4005262586805556
8497,00:04:43.200,1.2344137675350066,100.76322880497685,0.8806242766203703,2.3380533854166665,1.5147569444444444,0.6760525173611112,0.4510633680555556
8498,00:04:43.233,1.1045890919692625,100.82128002025463,0.7194281684027778,1.805419921875,1.1174587673611112,0.6518825954861112,0.3889431423611111
8499,00:04:43.267,0.7008163594164629,100.8486961082176,0.6095468026620371,1.8400065104166667,0.9469129774305556,0.5521375868055556,0.32958984375
8500,00:04:43.300,0.36068495494467895,100.87684461805556,0.45748336226851855,1.86767578125,0.5766059027777778,0.5047743055555556,0.2910698784722222
8501,00:04:43.333,1.1770871940011305,100.95487015335648,1.4215313946759258,1.6117350260416667,3.2957085503472223,0.4779459635416667,0.4909396701388889
8502,00:04:43.367,2.1974792252060373,100.99025245949075,2.3229890046296298,1.8330891927083333,5.75732421875,0.5161404079861112,0.6955023871527778
8503,00:04:43.400,1.048444278468643,100.98312717013889,1.4406557436342593,1.4595540364583333,3.4003363715277777,0.4293077256944444,0.4923231336805556
8504,00:04:43.433,0.6358973061123774,101.00356264467592,0.9087908709490741,1.307373046875,2.06103515625,0.3473578559027778,0.3179796006944444
8505,00:04:43.467,0.6335886811108902,100.98552336516204,0.8430447048611112,0.684814453125,1.9711642795138888,0.2782931857638889,0.2796766493055556
8506,00:04:43.500,0.9555489817525067,100.99656394675925,1.1098994502314816,0.9200032552083334,2.6484917534722223,0.2971462673611111,0.3840603298611111
